순위,제목,가수,앨범
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
3,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
4,LOVE DIVE,IVE (아이브),LOVE DIVE
5,SNEAKERS,ITZY (있지),CHECKMATE
6,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
7,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
8,POP!,나연 (TWICE),IM NAYEON
9,TOMBOY,(여자)아이들,I NEVER DIE
10,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
11,That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
12,나의 X에게,경서,나의 X에게
13,우리들의 블루스,임영웅,IM HERO
14,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
15,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
16,다시 만날 수 있을까,임영웅,IM HERO
17,Love story,볼빨간사춘기,Seoul
18,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
19,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
20,무지개,임영웅,IM HERO
21,그라데이션,10CM,5.3
22,Girls,aespa,Girls - The 2nd Mini Album
23,눈을 감으면,WSG워너비,눈을 감으면
24,아버지,임영웅,IM HERO
25,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
26,A bientot,임영웅,IM HERO
27,LOVE me,BE'O (비오),LOVE me
28,손이 참 곱던 그대,임영웅,IM HERO
29,내가 아니라도,주호,내가 아니라도
30,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
31,신호등,이무진,신호등
32,사랑해 진짜,임영웅,IM HERO
33,사랑역,임영웅,IM HERO
34,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
35,연애편지,임영웅,IM HERO
36,보금자리,임영웅,IM HERO
37,사랑해요 그대를,임영웅,IM HERO
38,인생찬가,임영웅,IM HERO
39,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
40,취중고백,김민석 (멜로망스),취중고백
41,That's Hilarious,Charlie Puth,That's Hilarious
42,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
43,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
44,해요 (2022),#안녕,해요 (2022)
45,ELEVEN,IVE (아이브),ELEVEN
46,I LOVE U,WINNER,HOLIDAY
47,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
48,MY BAG,(여자)아이들,I NEVER DIE
49,Stay,The Kid LAROI & Justin Bieber,Stay
50,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
51,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
52,Yet To Come,방탄소년단,Proof
53,팡파레,다비치,Season Note
54,Left and Right (Feat. Jung Kook of BTS),Charlie Puth & 정국 & 방탄소년단,Left and Right
55,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
56,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
57,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
58,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
59,GANADARA (Feat. 아이유),박재범,GANADARA
60,HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
61,아무래도 난,주시크 (Joosiq),아무래도 난
62,사랑이야,케이시 (Kassy),사랑이야
63,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
64,INVU,태연 (TAEYEON),INVU - The 3rd Album
65,_WORLD,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album Repackage 'SECTOR 17'
66,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
67,Somebody!,로꼬 & 화사 (Hwa Sa),Somebody
68,Bad Habits,Ed Sheeran,=
69,Next Level,aespa,Next Level
70,Butter,방탄소년단,Butter
71,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
72,Weekend,태연 (TAEYEON),Weekend
73,나를 잊지 말아요 (웹툰 '연애의 발견' X 길구봉구),길구봉구,나를 잊지 말아요 (웹툰 '연애의 발견' X 길구봉구)
74,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
75,고백,멜로망스 (MeloMance),세 번째 '고백'
76,빛이 나는 사람,김호중,빛이 나는 사람
77,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
78,너를 생각해,주시크 (Joosiq),너를 생각해
79,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE
80,주마등,김호중,PANORAMA
81,My Universe,Coldplay & 방탄소년단,My Universe
82,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You)
83,약속 (約束),김호중,PANORAMA
84,Permission to Dance,방탄소년단,Butter / Permission to Dance
85,없었던 일로,헤이즈 (Heize),Undo
86,ZOOM,제시,ZOOM
87,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
88,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
89,strawberry moon,아이유 (IU),strawberry moon
90,2002,Anne-Marie,Speak Your Mind (Deluxe)
91,친구,김호중,PANORAMA
92,abcdefu,GAYLE,abcdefu
93,Oye Como Va,김호중,PANORAMA
94,Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
95,문득,BE'O (비오),Bipolar
96,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
97,Every Second,Mina Okabe,Every Second
98,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
99,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
100,가을꽃,김호중,PANORAMA
101,Adoro,김호중,PANORAMA
102,나비 (Outro),김호중,PANORAMA
103,Tiritomba,김호중,PANORAMA
104,그 하루 (Feat. 반하나),주호,그 하루
105,노래해요 (Duet With 최백호),김호중,PANORAMA
106,괴짜 (Freak),지코 (ZICO),Grown Ass Kid
107,Love in Portofino,김호중,PANORAMA
108,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
109,그리움의 계절,김호중,PANORAMA
110,호랑수월가,탑현,호랑수월가
111,Sparkling,청하,Bare&Rare Pt.1
112,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
113,At My Worst,Pink Sweat$,The Prelude
114,라일락,아이유 (IU),IU 5th Album 'LILAC'
115,I Ain't Worried,OneRepublic,I Ain't Worried (Music From The Motion Picture 'Top Gun : Maverick')
116,헤픈 우연,헤이즈 (Heize),HAPPEN
117,사랑한다고 말해줘,탑현,사랑한다고 말해줘
118,고백하는 취한밤에 (Prod. by 2soo),임재현,고백하는 취한밤에
119,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
120,있잖아,폴킴,연애플레이리스트2 OST Part.2
